id,comment,label
0,no improvement require,['no improve']
1,"they should resolve the issues which customer mentioned on follow up calls because , they are just listening the issue and not improving it .",[u'custom_call_feedback']
2,we don \? t get follow up from nanavati . they should do step by step follow up to customer from time . we handover vehicle to them for servicing on what stage our car is how much work is completed in service of our vehicle . when insurance will be completed this all information should provide by them . we not need to ask them .,[u'custom_call_feedback']
3,they should do the follow up calls should know the condition of our car .,[u'servic_car_call']
4,i get the follow up calls but when we show our issue or concern to customer care they don \? t follow up sort out that issue . they follow up same like it sector . we just tell them our issue but they don \? t do anything they just ask us issue . if we suggest something they do n't do implement on it .,[u'custom_call_feedback']
5,wasan toyota always calls me but from shinrai toyota i have hardly received 2 3 calls till now,[u'custom_call_feedback']
6,"once they misplaced one accessory of mine and during the follow up call , i told them about this accessory that it was not there when they returned the car to me . i called up again to the dealer given complaint that , luggage tray was misplaced . but they did not took any action on my complaint . hence i need to purchase another accessory .",['call_follow_car']
7,they should have customer 's car servicing history . they only know service is done or not . they should have details of servicing history which they give to the customer .,[u'servic_car_call']
8,we did n't receive the feedback call . advisor should make the call but in this case we only make the call . our problem do not get solve .,[u'call_feedback_servic']
9,no improvement require,['no improve']
10,if we having any complaint then they should make a call and ask that our work had been done or not . if we gives answer then they should do the cross check by doing scrutiny .,[u'custom_call_feedback']
11,in the follow up called we must take feedback to the driver also along with the owner .,['call_follow_car']
12,no improvement require,['no improve']
13,"after completing car service , the dealership staff should call the customer next day to back check whether the service was done correctly or not also . avoid checking the after one week or after 10 days .",[u'servic_car_call']
14,after completing the periodic service they should give follow up calls .,[u'servic_car_call']
15,i was busy for all the time they should call us on free time for feedback . i don \? t want any call from there side for feebback . they should take the feedback from us when we visit the service center to pick up the car .,[u'custom_call_feedback']
16,when the asking the customer that the problem is solved or not and if respondent told that the problem not resolved so this is those responsibility to insure that our complaints are resolving or not .,[u'problem_car_custom']
17,"once completing the serving of my car . i am not getting any calls from service centre regarding the after service of my car and conditions hence , this services need to improve .",[u'servic_car_call']
18,"as they now have an option for buyer through internet , if they could inform me about that it would be better for me . but they didn \? t inform me .",[u'custom_call_feedback']
19,"they did not follow up customers complaint , they must do this . they use to call us after servicing to check is there any issues but they are not going to take any action against it then there is no meaning of calling us and wasting our time .",[u'custom_call_feedback']
20,"after the servicing is done the service center can send someone the next day to see whether , we are having any problem or not because it is not possible for us to come with the problem or they can contact us over the phone .",[u'problem_car_custom']
21,records should be maintain proper . they should to call customer .,[u'custom_call_feedback']
22,work is not done as they said . staff should be proper .,[u'custom_call_feedback']
23,i had not received feedback call after get periodic service . after servicing they car they should called to customer to check customer is satisfied or not \? improvement is required in em60 service . in em60 service was not going proper they target to give customer vehicle within 60 minutes .,[u'servic_car_call']
24,"after servicing dealership should call to customers to know the condition of car and the problems status which was happened in earlier . dealership staff should keep good relation with customers and should look , wherein customers can feel satisfaction .",[u'custom_call_feedback']
25,they should take action on feedback call . if respondent give any complaint after that they not called again .,[u'custom_call_feedback']
26,the dealership staff should intimate the customer regarding their servicing frequency . by home many kilometer after running the ace the customer should take for services .,[u'servic_car_call']
27,they have to send the messages regarding the processing status of the vehicle instead calling the customers in the evening,[u'custom_call_feedback']
28,the time which we give for feedback call the should give more attention also they should do call on given time . they should do more and more call for feedback that would be good .,[u'custom_call_feedback']
29,they don \? t give him any follow up calls . so they should give him follow up calls .,[u'call_feedback_servic']
30,after 15 days of servicing of the car they should give follow up calls .,[u'servic_car_call']
31,"after servicing the car , they should call to customer check it was any problems are face to customer .",[u'problem_car_custom']
32,after periodic service also one of the problem remains . that we have to tell them again to do it again . this should not happen . technician should themselves tell about the car problem . they are technicians so they know much . for this i had to go 2 to 3 times just for one thing .,[u'custom_call_feedback']
33,they should enquire about our car after it \? s servicing . if any problem occurs then they should send people if,[u'problem_car_custom']
34,ladies who sit in dealership sometimes i receive follow up call from her but sometime she doesn \? t call . she supposed to call us after 500km or 1000km if they want to keep higher name status of their company . they should at least call 2 3 times before vehicle reaches 7000 km . once i complaint about this at ahmedabad showroom after that i received a call for follow up and again they stopped calling me .,['call_follow_car']
35,they do not call after service . they should call and ask the status vehicle .,[u'servic_car_call']
36,"from time to time being a company or dealership they should enquire about the condition of the car , i . e . how it is",[u'custom_call_feedback']
37,if customer doing some complaint then they should update on their report properly . if next time we visits they should check older one complaint also had been done property or not .,[u'custom_call_feedback']
38,feedback call is not coming . feedback should be conducted for those who visited the dealership . questions should be asked related to their work and how much satisfied or not with their work .,[u'custom_call_feedback']
39,they should give follow up calls .,[u'call_feedback_servic']
40,after the delivery of the car they should give a follow up call after a week . they don \? t enquire about our car .,['call_follow_car']
41,before giving the service they should give us a prior information regarding servicing .,[u'servic_car_call']
42,after the car is serviced they do not give any follow up call . feedback call which they make to know how the service is received is not made by them .,[u'call_feedback_servic']
43,the dealer point should check the car properly before the handover . we don \? t understand all the problems of the car . it is their duty to check it thoroughly .,[u'problem_car_custom']
44,they should regularly call the customer for feedback,[u'custom_call_feedback']
45,they should call and ask if there is any problem or the car is running properly or not . they should do this call within 15 20 days .,[u'problem_car_custom']
46,"when you takes the feedback , you need to check that the suggestion is chasing are they working on customer 's suggestion and update the customer about the same .",[u'custom_call_feedback']
47,they should have at least the acknowledge that what our feedback is and they should explain weather they had done work on my given problem or not .,[u'problem_car_custom']
48,they give better services but they have not called yet . yes but we call them up and line as well not connecting quickly . but i would say they are excellent only i have no issues .,[u'custom_call_feedback']
49,feedback call should be receive . after service if customer get out then they should ask to the customer that they are satisfied or not . sometime they call us sometime they do n't call us .,[u'custom_call_feedback']
50,i never receive any feedback calls . they should conduct customer feedback and also advice what to do and when . they never informed that tire pressures should be proper .,[u'custom_call_feedback']
51,in delivery time they should told to customer some of works is pending periodically they should call to customer for take car feedback regularly follow up to customer,[u'custom_call_feedback']
