id,comment,label
0,they should reduce charges of spare parts in vehicle .,['spare']
1,servicing charges should be reduced . rest everything is fine .,[u'charg']
2,"everything should be checked properly during servicing and the service should be provided as per cost that they are taking . they should inform the customer by estimating the total cost , so that customer will carry money as per that or if he has the money then he will give the car otherwise he will not give . they must accept cheque like that , if they are taken a cheque , when that cheque will be clear , then they will give the delivery . they have many conditions . they need to omit such conditions .",[u'charg']
3,"the charges are somewhat satisfying not fully . some spare parts like air ac , cooler , etc . which can be repaired , but they totally replace the parts , for which the costing is higher .","['spare', u'charg']"
4,"i think if they first held a meeting with customer about whatever work is there , they have been given an overall estimate but instead of doing this , if they will give each details of each parts then , it would be better and the matter will be clear .",['spare']
5,the periodic charge is above than the market rate . it is many times higher than the market rates .,[u'charg']
6,other service center are charging less charges as compare to grace toyota at the percent of 20 to 25 . so grace toyota also need to decrease their charges .,"[u'charg', u'compar']"
7,the simple maintenance cost is a bit high . i had to pay 5 thousand for interior cleaning regular servicing . if the charges can be rs 1 thousand less then it will be better for me .,['others']
8,charges should be reasonable .,['others']
9,they should reduced the cost of parts .,['spare']
10,"they are just making bills handing it over to customers . they are saying we did this , we replaced this etc . but not showing it to us . they should mention to customers what is exact problem in the car . also they should mention either we should do it now or done in next servicing is ok . when we are giving car to servicing that time they are saying charges will be 3000 rs . but when we go for pick up our vehicle that time they gave bill of 8000 rs . it is not good . charges are very high . as well as if any part in proper condition then also they are changing it .","['spare', u'charg']"
11,no improvement require,['no improve']
12,"at first we used to get smile card for 2 servicing which was worth for rs 6500 to 7500 for 10000 km , but now they have made it for 4 servicing and that worth for rs 25000 to 30000 which is for 20000 km . so getting the vehicle driven for 20000 it takes almost 4 to 5 months so our money is stuck with the service center for all these months . so i could not take this service . i take the service pack from last 4 years but due to this i am unable to take service pack this time .",[u'charg']
13,they should provide discount to us,['discount']
14,dealership should decrease all charges e . g . charges for spare parts should be reduced .,"['spare', u'charg']"
15,all material charges should be reduced and they should compare to other local brands in the terms of rate cost of materials .,[u'compar']
16,charge should be somewhat decreased at dealership . charges for materials should be reduced . charges for materials should be paid by company itself .,[u'charg']
17,toyota customers are going for servicing at toyota \? s service center hence they should charge reasonable prices . it is very high .,[u'charg']
18,they should be do improvement in the charges . they should not apply more tax on the spare parts rate . also they should be provide details for the tax charged on spare parts cost .,"['tax', u'charg']"
19,toyota takes high regular service charges . they take lots of labor charge which is too costly . compared to other companies toyota taking high labor charges . they should reduce charges .,"[u'charg', 'labor']"
20,charges are high it should be low .,[u'charg']
21,they should not take unusual extra charges .,['others']
22,they should improve there service charges . it is made by company but they should look into this .,[u'charg']
23,apart from the servicing they should reduce other charges like washing .,[u'charg']
24,i have not that much knowledge but they should decrease the charges .,['others']
25,compare to pervious services charges current maintenances services cost is high and if we ask anything regarding the exclusive cost they don \? t provide proper information to its customers .,[u'compar']
26,charges are too high thus they should reduce the same .,[u'charg']
27,there charges are high . compared to other service centers this dealer charges are high . there is no service center in aligarh . so the customers who come from very far distance they should take care of them . in small cities toyota should open small shops .,"[u'compar', u'charg']"
