id,comment,label
0,they should improve in location .,['others']
1,"in jodhpur , there is only one service center they have to arrange two service center due to this we have to go to other private service center .",['toll_tax_front']
2,from kolhapur the service center is 10 to 14km away . so it should be nearby the kolhapur .,[u'citi_showroom_drop']
3,location cannot be changed but they can repair the road discussing with gram panchayat .,[u'road_citi_highway']
4,dealership location should be on road .,[u'road_citi_highway']
5,location of dealership in not good as the road condition is very poor .,[u'road_citi_highway']
6,in sindhudurg district service center not available . for the servicing we have to go kolhapur . also servicing not available in kankavali there is only store room available .,[u'citi_showroom_drop']
7,there should be board which indicate dealership toyota service center is available here .,['board']
8,"due to traffic , it is big issue to reach the service center , so they should locate their center in such a place where , there is less traffic so that reaching the service center gets easy .",[u'citi_showroom_drop']
9,"there is not particular waiting area . the customers like us and the dealership staffs are sitting together only . it would be much better , if they can arrange a separate waiting area and keep tv , comfortable chairs with cushion etc .",[u'citi_showroom_drop']
10,"they should open one more service center in the aundh , if they feel .",[u'citi_showroom_drop']
11,at karaikudi place there is no dealership they just have showroom . it would be good if toyota could have dealership in that place as well .,[u'citi_showroom_drop']
12,the service center location is far away from my home it is almost 16 km . they should increase their branches . should have one more branch after the mira road .,"[u'citi_showroom_drop', u'km_citi_distanc', u'road_citi_highway']"
13,service center should be near .,['others']
14,"dealership staffs , customer service responses are good . it should be more developed . in annanagar area dealership branch located at long distance that why it took very much time to reach there .",[u'citi_showroom_drop']
15,service center is far away it is almost 6 7 km so it should be available within 2 3 km . or they are giving home delivery for servicing but they are taken much charges for that so they should not charge or should reduce the charges .,"[u'citi_showroom_drop', u'km_citi_distanc']"
16,if service center location is nearby then it will good . current the location is far away . it should be nearby nagar or shirdi as well as it should be available within 20 to 25 km .,[u'km_citi_distanc']
17,the service center is quite far from my resident . so it would be better if i have the service center near to my resident at brahrampur area .,[u'citi_showroom_drop']
18,dealership location should be available within 30 km . it should be nearby shirdi or shrirampur of rahta .,"[u'citi_showroom_drop', u'km_citi_distanc']"
19,dealership branches closing time should be increase,[u'citi_showroom_drop']
20,they should do proper cleaning of the vehicle .,[u'citi_showroom_drop']
21,the entry gate of dealership should be on highway .,[u'citi_showroom_drop']
22,"from velachery to tambaram the branches are too less , it would be good if they increase the same",[u'citi_showroom_drop']
