id,comment,label
0,"they should provide tea coffee in waiting area , when customer waits there .",['drink']
1,space should be more they have to provide sitting facility .,['space']
2,they should increase the area where they are keeping the newspaper .,['others']
3,"ac are available , there but they are not using it . waiting area must be clean .","['cleanli', 'ac']"
4,"waiting area should have tea , magazine , lcd comfortable couch facilities .",['drink']
5,"in the waiting area , they should have arrangement of snacks and also should have a bed to relax . they should also have a play zone for entertainment .",['others']
6,there is waiting area common for both . now they are shifting the service center maybe andheri so that \? s why we are facing some issue .,"[u'issu', 'space']"
7,increase the space of service center .,['space']
8,"the waiting area should be more clean neat . the service center should be more spacious . toyota cars are increasing in nos . , which is good but they should accordingly increase the no . of service centers .",['cleanli']
9,"waiting area should be a bit better . they \? ve 2 waiting areas , one common the other is for owners . they never informed me about the waiting area of the owners . so every time i \? d to sit in the common waiting area . after 5 6 times of my visit i came to know about that . the last time i was approached by the may i help you lady , who told me about the owners waiting area told me to shift there . they should have a common sense should understand the body language of a person . the cost of the car is so high , but accordingly they should provide some more features in the car . this is a negative side of the brand . they should increase some comfort levels in the car which are not very costly but will make the car more appealing . they should provide tachometer , automatic climate control , motorized outside rearview mirror , etc . for standard fitness , they should provide rear parking censor , which is very much needed , rain draining wiper , automatic wi fi control , etc . i \? d to fix them in my car from outside . the last 3 things are very much needed in the car . they should even provide some more magazines related to automobiles toyota manual .","['comfort', u'thing', 'space', 'person', u'magazin']"
10,waiting area was not so comfortable . there was no enough chairs for customers in their sitting area . specially for ladies they should arrange cushions in waiting area .,"['seat', 'space']"
11,did not provide any suggestions,['others']
12,"for the customers like us , you should keep tv , comfortable chairs ac in waiting area .",['seat']
13,executive should come to use tell about much time it would take for the car to get serviced by this we can arrange or time and we don \? t need much time wait in the waiting area,['space']
14,there was no comfortable area for waiting . waiting area need to keep separate for customers like us . it would be very useful for customers to attend the business phone calls .,"['need', 'space']"
15,"the front side of waiting area is covered with glass and hence it becomes hot and the waiting area is so suffocative and so congested and there is an area which is surrounded by trees , it is beautiful , but there is no place for sit . there should be a canteen as because the area is isolated . the bottle they given us to drink water it should be better and if there should be a docking station where we can charge our mobile . if there will be a playground for children \? s it would be good .","['food', 'drink', 'space']"
16,"the most improvement is requires in the waiting area . the waiting area of the service center is too small . due to reflection of sunlight , it become too hot . when i went there it was 2 . 00 pm . i did not get more attention . they are less attentive . they should ask whether i need anything . because it is located at an isolated place so nothing is available there . so if they have arrange something and even if it is payable then also it will be good for customer .","[u'someth', 'space']"
17,we have to wait for almost 5 hours in waiting area and there they have only tv but they should have games also like carom etc .,['tv']
18,waiting area should have camera so that customer can saw his vehicle during servicing .,[u'vehicl']
19,"the waiting area is very small space . they can make the waiting area more comfortable by adding some new magazines , newspapers can make a wi fi zone in the area .","[u'magazin', 'space']"
20,they should provide rest room canteen .,['food']
21,cup saucer was remain there long time so they should do proper cleaning .,['cleanli']
22,no improvement require,['no improve']
23,"waiting lounge should be modified made attractive . the refreshments should be improved . most of the time the tv in the waiting area had signals problems . there should be sufficient amount of automobile related magazines . for children they should provide some games or awareness programs related to automobile . the waiting area should be more creative , i . e . they should show something creative relating to the cars .","['space', 'tv', u'someth', u'game', u'magazin', u'loung']"
24,waiting area should be improved in terms of waiting time .,['others']
25,they should offer tea coffee and should have proper arrangement of tv waiting area should not have too much noise and should also not have foot fall of mechanics .,['drink']
26,"waiting area should be in proper condition , it should not have too much noise",[u'condit']
27,there is no sitting space in waiting area if we have family with us in kolhapur,['space']
28,waiting area space is less and it \? s congested in amana dealership . waiting area should be more spacious .,['space']
29,they have to improve the space of the waiting area . the cleanliness is not good .,"['cleanli', 'space']"
30,bas setting arrangement thora as acha kar de jiye bas,['others']
31,whenever we go i always complain them that in customer lounge drivers are also sitting even driver room is available upside of dealership . staffs are also not requesting drivers to sit in drivers waiting room . this is wrong . drivers customers should not sit together . at other dealership of toyota e . g . infinium naroda also drivers customers should not sit together . and they don \? t even solve problem .,[u'driver']
32,they should have television,['others']
33,they should do changes in the way of attending the customers on each service as customer visited there regularly .,['way']
34,they should ask for coffee or tea . sometimes we have wait long time but no one ask for tea and coffee . i do n't no wats instruction are there but seating option was not proper . seating option should be proper .,['drink']
35,temperature is not good . keep good chairs .,['seat']
36,"the waiting area should be improved . they should look after the beautification of the compound . garden space should be beautified . they can add more ornamental trees , more seasonal flowers can plant more rare species trees . if you visit no molecular assam refinery , in the township , you can find that you \? ve entered in a gardening area . while waiting for 2 3 hrs . for our car we can remove our boredom in the garden space .","[u'hr', 'space']"
37,"in waiting area , they are take long time and it was time wasting for customer . first they are say you are car is ready we can come to take it but when we come to dealership that time staff are doing policing and cleaning the car so that should be improved .","['cleanli', 'space']"
38,the lcd which you had put up in the waiting area should keep on updating . tell them to update as early as possible every time it is good . other thing in waiting area is good that was the only thing which i wanted to say about that waiting room .,[u'thing']
39,waiting area is very small not a space to seat there .,['space']
40,the waiting area is small here . it should be enlarged . they can provide coffee there .,"['drink', 'space']"
41,there is no arrangement of tea coffee . customer keep sitting there but they do not look after us . you just get bored sitting there .,['drink']
42,"if a customer asked them anything they told wait we will give you but after some time they said it is finished but they have the same thing for their staff , this is not good .",['staff']
43,look of the car can be good if couch is available .,['others']
44,seating section size is small . it should be little large .,['others']
45,the condition cleanliness of the car should be improved . they should change the location . the place is very small . it should be spacious . waiting area servicing area should be improved .,"['cleanli', 'space']"
46,within time limit they should given car to customer,['others']
47,they should work as per time table .,['others']
48,waiting time is very long in this dealership so that should be reduced .,['others']
49,they should offer water tea to the customer and customer should see the vehicle during servicing,['drink']
50,"the wifi which they have in their dealership it doesn \? t supports in i phone , it only supports on android phones .",['others']
51,remote of television was not available at waiting area . they should give good services in waiting area because we get bored by sitting there for long time .,['space']
52,staff or supervisors are not available to attend the customers . to attend the 10 people 1 supervisor is not good . there should be an 3 4 supervisor that who can keep on intimating us in the waiting room . even they can keep on intimating us that how much time it will take .,['staff']
53,the waiting area should be more clean .,['cleanli']
54,"they have to improve the travelling services , they have to provide the canteen facility",['others']
55,appointments should be taken timely . and seating capacity should be improved at the dealership .,['others']
56,little big place should be available .,['space']
57,they should increase the seating arrangement in waiting area .,['seat']
58,in the waiting room their should be an canteen . there is chair should be sofa for sitting the arrange is according driver . we are owner facilities should according us .,"['food', 'seat']"
59,they need more improvement on the waiting are as it should be more comfortable .,['others']
60,waiting area should be more comfortable . while purchasing the car the outside amenities are good but in waiting area place are not much proper they need more improvement .,['space']
61,if the space of waiting area will be expanded then it would be better . because the space is too small .,['space']
62,in waiting room their should be an more cleanliness . also they should improve in tea or coffee .,"['cleanli', 'drink']"
63,"in the waiting area , there should be avail a coffee vending machine and they should ask for water . and the room of waiting area is too small . as an example if you go to the particular dealership and if you will get more than one person and he is already attending to one customer and if you are asking to wait then either somebody should come and tell you that sir your waiting time is over now or they can provide token kind of system or calling system or t . v . where news is running on , so that a customer would not found himself alone .","['person', 'drink', 'space']"
64,waiting are is not that much good in compare to other because our company is more branded that others so it should be improve .,['others']
65,service center is far away from my home . i don \? t get well satisfaction from service center . the waiting area is too small if 6 or 7 person sit over there then there is no place we get to sit . and that time some people go to the tea shop and some others just walking outside and we also can \? t park the car properly . in the last servicing dealership staff had taken 7 hours instead of 1 hour .,"['staff', 'space', 'drink']"
66,they should increase the cash counter as because the rush we need to wait there for billing .,['others']
67,earlier there use to be sofa set but now there are steel chairs . you should understand the difference between car owners and drivers . if customer waits for long time then he should feel comfortable hence sofa are required . customer needs to sit on steel chairs .,"[u'driver', 'seat']"
68,ac was not available there so it should be available .,['ac']
69,it is very hot there . ac also is closed there and inside there is sun light also . there is no proper place to sit .,"['ac', 'space']"
70,there is no cleanliness . the drivers also sit on same place where we sit . there is no good service of eatables .,"['cleanli', 'space']"
71,tv and all is there but there is no newspaper for people to read .,['tv']
72,as compare to other showrooms nippon toyota have less space in waiting area .,['space']
73,they should offer snacks to customer and should have comfortable sitting arrangement in waiting area .,['others']
74,separate waiting area should be available for owner .,['space']
75,they should make waiting area little better . space should increase and lighting should be good .,['space']
76,"there should be tv in waiting area , water facility should be there . if family visits there then there should be safety .",['drink']
77,its feel like waiting are most made for drives less for owners . waiting area is ok . open furniture it \? s looking good . welcoming should be available on entrance .,['space']
78,the waiting area available in grand toyota there no body asks for water or tea . that 's ok if they do not ask for tea but at least come to ask for clean drinking water . if we have been waiting there for 2 hours then at least there has to be somebody to ask us for a glass of water . location is on meerut bypass and there is nothing available close by . so there at least some one come and ask us for a glass of water . only this what any person would want to have . person coming there would have already taken his tea or coffee from his home but water thirst can be felt any time . only thing is that they must ask for water .,"['person', 'drink']"
79,"they are taking just double time to resolve the issue , they should resolve the issues in committed time .",[u'issu']
80,they should ask the tea and cofee in waiting area,['drink']
81,"1 . if there is more waiting time , they have to provide bed facility for relaxation .",['others']
82,no improvement require,['no improve']
83,"if lounge for owner , so owner must available there driver should not available . what would happen there driver sit on owners place . privacy is not available there .",[u'loung']
84,they should have a cctv camera in waiting area so that customer can see his vehicle during servicing .,[u'vehicl']
85,separate room should be available in waiting area so we can not disturb because too much disturbance is there .,['others']
86,waiting room is also in bad condition . should do properly clean waiting room .,"[u'condit', 'cleanli']"
87,they should have canteen in waiting area and also have some foods like maggie etc . and if need they can charged for it . .,['food']
88,waiting area should be good,['space']
89,the waiting area should have drinking water and tea facilities .,['drink']
90,the space of waiting area should increase .,['space']
91,at least they should offer water to customers when they come to should provide the tea and all without asking .,['drink']
92,the waiting area should be improved . they should have more place for sitting then it would look proper . they should improve on this .,['space']
93,there is separate rooms are available for owner and driver but sometimes they came and seat in owner room so they should take care of this .,['seat']
94,water machine should be there because it is summer season now . and customers are already tired when they went there .,['drink']
95,serving water should be seal pack . they served as they are offering in glass and they wash it and again offering in same glass . it is better than they should provide in seal pack bottle . car not able to see from the waiting area where they are doing servicing . servicing work should be seen from the waiting area as what work is going on in car . pc is available there so they should have some games are related to internet so they should have some refreshment . it is physically available in lakhoji toyota so they should arrange here also .,"['work', u'game', 'drink', 'space']"
96,if 10 customers come there is place available for sitting but if there are 15 customers or more it is difficult for them to adjust . so the area for waiting should be improved .,['space']
97,waiting area is very small . they have put 2 3 sofas but if more number of customers come there then it becomes crowded,"['seat', 'space']"
98,"if customers are waiting in the services center , they have to the ask about purpose of waiting . 2 \) they have to give the proper response",['others']
99,they should do work fast so customer not wait there a lot .,['lot']
100,they should offer breakfast to customers .,['others']
101,waiting time should be reduced . after pay the billing they should quickly delivery the car if car servicing is complete then they should inform to customer otherwise we have to wait for long time in dealership .,['others']
102,"they don \? t even ask for tea . if we ask tea or water , then only they give . work should be done fast .","['work', 'drink']"
103,there are less chairs in the waiting area sitting so that should be increased .,['seat']
104,"we give them the vehicle from servicing and we have to wait 4 hours in the waiting area , this waiting time a lot time so you should think about it and resolve it .",[u'hour']
